title,author,genre,sex,view,recommandation_count,total_serial_num,preferred_age
화산검신,김태현,무협,남자,157392,213,1 ,50
조금독특한그녀,알테,로맨스,남자,266012,2130,68 ,40
레이노스,듀엘,판타지,남자,8141,88,24 ,20
기원,chungbee,퓨전,남자,2267766,85046,580 ,40
125일전쟁,장물아비,전쟁·밀리터리,남자,137356,556,60 ,40
청담(晴曇),범이,무협,남자,200176,695,2 ,50
이계영주,티그리드,퓨전,남자,1142255,6058,0 ,40
오파츠,박시장,퓨전,남자,535,1,1 ,30
프리든의영주,응앙앵,판타지,같음,3338,5,0 ,10
그림자세계,그림자반쪽,판타지,남자,1997,14,3 ,20
메모리리콜러,바이월드,현대판타지,남자,105754,782,34 ,40
광신번뇌,운상일학,무협 퓨전,남자,162359,1037,116 ,50
영원의악마,세츠다,판타지 SF,남자,178343,1346,111 ,20
나는이산이다,Otello,퓨전,같음,23332,45,0 ,10
옥절군,임대협,무협,남자,1012940,13915,114 ,50
화운국전기,만청(卍靑),판타지,남자,84101,726,154 ,30
바이서스,바이서스,판타지,남자,4191,2,24 ,30
흑십자,조재호J,판타지,남자,143801,290,95 ,20
하늘과땅의시대,聰.,판타지,남자,48601,301,15 ,20
푸른물고기목걸이,다들웃어요,판타지 대체역사,남자,10279,105,66 ,50
신필천하,[눈매],무협,남자,981973,3181,12 ,50
무황학사,일황(一皇),무협,남자,387102,933,8 ,50
광마록,방창현,무협,남자,40246,134,11 ,50
이계진입마루타,가난영주,퓨전,남자,21661,125,15 ,30
Dumspirospero,그레이.,판타지,남자,6723,27,21 ,30
의선전설,풍선(風仙),무협,남자,123959,696,23 ,50
나는영혼을팔았다,큰불,현대판타지,남자,345805,2218,54 ,40
